"TASM SPC700 Assembler.  "
/*                                                 */
/* Sony SPC700 table for use with Table Assembler. */
/* email: minus@smartt.com                         */
/* Last updated: 12/23/96                          */
/*                                                 */
/*INSTR ARGS OPCODE BYTES MOD CLASS SHIFT OR */
/*-------------------------------------------*/
MOV     A,X     7D      1       NOP     1
MOV     A,Y     DD      1       NOP     1
MOV     X,A     5D      1       NOP     1
MOV     Y,A     FD      1       NOP     1
MOV     X,SP    9D      1       NOP     1
MOV     SP,X    BD      1       NOP     1

MOV     A,#*    E8      2       NOP     1
MOV     A,(X)+  BF      1       NOP     1
MOV     A,(X)   E6      1       NOP     1
MOV     A,!*+X  F5      3       NOP     1
MOV     A,!*+Y  F6      3       NOP     1
MOV     A,!*    E5      3       NOP     1
MOV     A,[*+X] E7      2       NOP     1
MOV     A,[*]+Y F7      2       NOP     1
MOV     A,*+X   F4      3       NOP     1
MOV     A,*     E4      2       NOP     1
MOV     X,#*    CD      2       NOP     1
MOV     X,!*    E9      3       NOP     1
MOV     X,*+Y   F9      2       NOP     1
MOV     X,*     F8      2       NOP     1
MOV     Y,#*    8D      2       NOP     1
MOV     Y,!*    EC      3       NOP     1
MOV     Y,*+X   FB      2       NOP     1
MOV     Y,*     EB      2       NOP     1

MOV     (X),A   C6      1       NOP     1
MOV     (X)+,A  AF      1       NOP     1
MOV     !*+X,A  D5      3       NOP     1
MOV     !*+Y,A  D6      3       NOP     1
MOV     !*,A    C5      3       NOP     1
MOV     !*,X    C9      3       NOP     1
MOV     !*,Y    CC      3       NOP     1
MOV     [*+X],A C7      2       NOP     1
MOV     [*]+Y,A D7      2       NOP     1
MOV     *+X,A   D4      2       NOP     1
MOV     *+Y,X   D9      2       NOP     1
MOV     *+X,Y   DB      2       NOP     1
MOV     *,Y     CB      2       NOP     1
MOV     *,X     D8      2       NOP     1
MOV     *,A     C4      2       NOP     1

MOV     *,#*    8F      3       CSWAP   1
MOV     *,*     FA      3       CSWAP   1

ADC     A,#*    88      2       NOP     1
ADC     A,(X)   86      1       NOP     1
ADC     A,!*+X  95      3       NOP     1
ADC     A,!*+Y  96      3       NOP     1
ADC     A,!*    85      3       NOP     1
ADC     A,[*+X] 87      2       NOP     1
ADC     A,[*]+Y 97      2       NOP     1
ADC     (X),(Y) 99      1       NOP     1
ADC     A,*+X   94      2       NOP     1
ADC     A,*     84      2       NOP     1
ADC     *,#*    98      3       CSWAP   1
ADC     *,*     89      3       CSWAP   1

SBC     A,#*    A8      2       NOP     1
SBC     A,(X)   A6      1       NOP     1
SBC     A,!*+X  B5      3       NOP     1
SBC     A,!*+Y  B6      3       NOP     1
SBC     A,!*    A5      3       NOP     1
SBC     A,[*+X] A7      2       NOP     1
SBC     A,[*]+Y B7      2       NOP     1
SBC     (X),(Y) B9      1       NOP     1
SBC     A,*+X   B4      2       NOP     1
SBC     A,*     A4      2       NOP     1
SBC     *,#*    B8      3       CSWAP   1
SBC     *,*     A9      3       CSWAP   1

CMP     A,#*    68      2       NOP     1
CMP     A,(X)   66      1       NOP     1
CMP     A,!*+X  75      3       NOP     1
CMP     A,!*+Y  76      3       NOP     1
CMP     A,!*    65      3       NOP     1
CMP     A,[*+X] 67      2       NOP     1
CMP     A,[*]+Y 77      2       NOP     1
CMP     A,*+X   74      2       NOP     1
CMP     A,*     64      2       NOP     1
CMP     (X),(Y) 79      1       NOP     1
CMP     X,#*    C8      2       NOP     1
CMP     X,!*    1E      3       NOP     1
CMP     X,*     3E      2       NOP     1
